zip,veh.per.veh.owning.hh
98136,1.766745
98144,1.67371
98146,2.031153
98154,NA
98155,2.028645
98164,1
98101,1.187895
98168,2.065401
98174,NA
98177,2.013381
98178,1.99317
98195,NA
98199,1.814525
98102,1.314789
98103,1.637084
98104,1.177811
98105,1.747873
98106,1.785372
98107,1.55144
98108,1.862697
98109,1.356775
98112,1.702282
98115,1.755206
98116,1.7007
98117,1.825548
98118,1.851258
98119,1.550342
98121,1.239233
98122,1.435311
98125,1.670619
98126,1.684985
98133,1.739084
98134,1.217647
City,1.702064