zip,2019.ldv.sale,2017.pop
98101,100,12408
98102,100,24703
98103,100,51385
98104,100,14143
98105,100,47128
98106,100,26244
98107,100,24384
98108,100,24134
98109,100,27002
98112,100,24720
98115,100,51523
98116,100,25694
98117,100,33610
98118,100,46800
98119,100,25036
98121,100,16466
98122,100,37270
98125,100,40803
98126,100,23360
98133,100,48390
98134,100,844
98136,100,16364
98144,100,30850
98146,100,27587
98154,0,0
98155,100,34436
98164,100,127
98168,100,31771
98174,0,0
98177,100,20278
98178,100,27279
98195,0,52
98199,100,21660